,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious,argmax_acft_attendance,max_acft_attendance,argmax_acft_contagious,max_acft_contagious
74,58311413,sett24_1,74,4,1500,1500,0.85,0.9,3,1,0.65,0.7,300,0.12,1.0,1246.6666666666667,200.0,166.33333333333334,11.556623882239812,141.4213562373095,117.61613645905717,2,-0.31253466444814365,2,-0.3333333333333333
75,67234528,sett24_1,75,4,2000,2000,0.35,0.85,1,0,0.3,0.05,400,0.12,1.0,334.6666666666667,0.0,0.0,22.895899681432528,0.0,0.0,2,-0.36321887805567343,0,0.0
76,23531944,sett24_1,76,4,1000,1000,0.2,0.3,2,2,0.35,0.9,200,0.38,1.0,36.0,66.66666666666667,3.3333333333333335,6.531972647421808,94.28090415820634,4.714045207910316,2,-0.5,2,-0.3333333333333335
77,58913181,sett24_1,77,11,3500,3500,0.2,0.85,10,2,0.6,0.75,700,0.3,1.0,8.666666666666666,583.3333333333334,0.5,3.9015666369065425,260.87459737497545,0.5,3,0.007299270072992617,2,-0.06666666666666665
78,79950523,sett24_1,78,10,4000,4000,0.35,0.7,9,3,0.1,0.05,800,0.2,1.0,1398.0,640.0,10.6,37.62446012901713,320.0,21.200000000000003,2,-0.17151737779033624,2,-0.10000000000000002
79,19507991,sett24_1,79,11,2000,2000,0.65,0.6,10,1,0.45,0.5,400,0.48,1.0,1243.8333333333333,333.3333333333333,213.0,12.061186600920418,149.07119849998597,95.42187030934436,5,0.2114123862262133,2,-0.06666666666666662
80,94410008,sett24_1,80,4,2500,1250,0.25,0.2,2,1,0.05,0.9,500,0.26,0.5,55.0,505.3333333333333,0.3333333333333333,39.02136167109839,411.51859685262775,0.4714045207910317,2,-0.4781085814360771,2,-0.49998600292538853
81,3042206,sett24_1,81,8,3000,3000,0.45,0.9,7,10,0.4,0.2,600,0.42,1.0,1148.25,450.0,177.25,13.06474263045392,259.8076211353316,102.56552783464822,3,-0.1291651409740022,2,-0.16666666666666663
82,50312125,sett24_1,82,4,500,500,0.85,0.5,2,8,0.7,0.3,100,0.4,1.0,424.0,33.333333333333336,30.666666666666668,6.97614984548545,47.14045207910317,43.36921591277491,2,0.0547945205479452,2,-0.3333333333333335
83,16423740,sett24_1,83,9,2500,1250,0.9,0.4,5,3,0.2,0.45,500,0.42,0.5,1250.0,945.2,734.6,0.0,1073.2972374882925,844.8565795447179,0,0.0,2,-0.2421692511042156
84,28861428,sett24_1,84,7,1500,750,0.9,0.95,6,6,0.55,0.55,300,0.06,0.5,750.0,225.0,152.25,0.0,129.9038105676658,89.34308870864047,0,0.0,2,-0.16666666666666663
85,58928047,sett24_1,85,8,1500,750,0.4,0.1,7,5,0.95,0.15,300,0.1,0.5,486.25,225.0,50.75,40.794454279963105,129.9038105676658,50.780778843968115,2,0.16432568445562776,2,-0.16666666666666663
86,92927057,sett24_1,86,8,2000,2000,0.1,0.4,6,0,0.35,0.75,400,0.2,1.0,2.25,249.5,0.0,0.4330127018922193,217.7538748220109,0.0,2,-0.16666666666666663,3,-0.284797829880791
87,95317873,sett24_1,87,4,2000,2000,0.85,0.7,1,6,0.8,0.65,400,0.06,1.0,1690.6666666666667,0.0,0.0,22.095751225568733,0.0,0.0,2,-0.4487179487179492,0,0.0
88,54274286,sett24_1,88,200,3500,3500,0.75,0.05,6,3,0.55,0.6,700,0.22,1.0,2588.68,2330.95,1840.42,22.207602301914537,463.28985257611674,463.6942997277409,3,0.21734184196524736,10,0.9077459511819899
89,33239810,sett24_1,89,4,1500,750,0.6,0.45,2,1,0.25,0.8,300,0.34,0.5,376.3333333333333,100.0,6.0,212.80716362211328,141.4213562373095,8.48528137423857,2,-0.422417247735834,2,-0.3333333333333333
90,6423041,sett24_1,90,30,3500,1750,0.4,0.35,8,0,0.25,0.8,700,0.44,0.5,689.4666666666667,30.866666666666667,13.266666666666667,3.8620662287893968,29.43890094566862,14.214859205149455,3,0.14368295589987815,2,0.533500516249906
91,38687122,sett24_1,91,5,4000,4000,0.45,0.95,4,6,0.3,0.35,800,0.38,1.0,1571.6666666666667,533.3333333333334,253.33333333333334,57.563491516373084,377.12361663282536,179.15046438368194,2,-0.4999888225694677,2,-0.3333333333333333
92,16503512,sett24_1,92,9,3000,1500,0.55,0.55,8,5,0.65,0.65,600,0.06,0.5,692.8,480.0,114.2,29.75499957990253,240.0,57.26918892388821,3,0.205584169151532,2,-0.09999999999999998
93,5448767,sett24_1,93,8,2500,1250,0.15,0.45,6,6,0.25,0.8,500,0.12,0.5,8.0,350.5,1.75,0.0,287.43129613874686,1.299038105676658,0,0.0,3,-0.3006858476035429
94,65354151,sett24_1,94,4,3500,1750,0.15,0.8,1,6,0.7,0.15,700,0.1,0.5,66.0,0.0,0.0,50.0199960015992,0.0,0.0,2,-0.4412470023980815,0,0.0
95,22210153,sett24_1,95,4,500,250,0.5,0.2,3,4,0.35,0.05,100,0.42,0.5,98.33333333333333,66.66666666666667,19.0,53.57445494097184,47.14045207910317,26.870057685088806,2,-0.2682977185919274,2,-0.3333333333333333
96,96677618,sett24_1,96,8,500,250,0.1,0.25,7,6,0.15,0.8,100,0.34,0.5,0.0,75.0,0.0,0.0,43.30127018922193,0.0,0,0.0,2,-0.1666666666666666
97,17967243,sett24_1,97,10,3500,1750,0.5,0.9,9,6,0.85,0.85,700,0.04,0.5,881.4,560.0,151.6,62.60223638177792,280.0,76.34029080374269,2,-0.0282681473013799,2,-0.09999999999999996
98,9455286,sett24_1,98,7,500,500,0.5,0.85,6,6,0.25,0.85,100,0.2,1.0,252.5,75.0,37.25,15.386682553429118,43.30127018922193,21.52179128232592,2,-0.3215417106652587,2,-0.1666666666666666
99,91151909,sett24_1,99,8,2500,2500,0.5,0.4,7,5,0.95,0.1,500,0.28,1.0,1127.75,375.0,126.75,104.56666533843374,216.50635094610965,127.35261088803794,3,-0.10308121888343327,2,-0.16666666666666666
